DISTRICT,Sanctioned_post,Fulfilled_no,Fulfilled_percent,Filled_contrct_num,Recruited_local
Achham,4,2,50,5,1
Arghakhanchi,6,4,67,7,1
Baglung,3,1,33,2,0
Baitadi,5,3,60,0,0
Bajhang,4,3,75,0,0
Bajura,3,2,67,0,3
Banke,3,2,67,2,0
Bara,5,1,20,0,5
Bardiya,3,2,67,2,0
Bhaktapur,2,2,100,0,0
Bhojpur,6,5,83,0,2
Chitawan,3,2,67,5,0
Dadeldhura,2,2,100,0,0
Dailekh,7,6,86,5,1
Dang,4,2,50,2,0
Darchula,5,3,60,0,3
Dhading,5,4,80,13,0
Dhankuta,5,5,100,3,0
Dhanusha,5,5,100,0,0
Dolakha,4,4,100,0,0
Dolpa,2,1,50,1,0
Doti,5,2,40,0,4
Gorkha,4,2,50,5,0
Gulmi,4,4,100,0,2
Humla,2,1,50,1,0
Ilam,4,4,100,2,0
Jajarkot,17,8,47,1,0
Jhapa,6,1,17,7,0
Jumla,1,1,100,0,2
Kailali,10,5,50,0,0
Kalikot,3,2,67,3,2
Kanchanpur,3,3,100,0,0
Kapilbastu,11,7,64,4,2
Kaski,4,2,50,5,0
Kathmandu,16,16,100,21,0
Kabhrepalanchok,4,3,75,14,0
Khotang,6,5,83,5,0
Lalitpur,5,4,80,0,0
Lamjung,6,4,67,0,3
Mahottari,12,8,67,11,0
Makawanpur,4,2,50,9,0
Manang,3,2,67,1,1
Morang,6,2,33,6,2
Mugu,3,2,67,4,0
Mustang,3,2,67,2,0
Myagdi,15,4,27,0,7
Nawalparasi_E,14,4,29,10,0
Nawalparasi_W,14,4,29,10,0
Nuwakot,20,6,30,16,0
Okhaldhunga,3,3,100,0,4
Palpa,5,4,80,6,0
Panchthar,5,4,80,2,0
Parbat,4,4,100,4,0
Parsa,6,0,0,0,10
Pyuthan,6,4,67,3,2
Ramechhap,5,5,100,4,0
Rasuwa,3,3,100,7,0
Rautahat,10,2,20,10,0
Rolpa,4,4,100,6,0
Rukum_E,4,3,75,3,0
Rukum_W,4,3,75,3,0
Rupandehi,5,6,100,4,0
Salyan,5,4,80,3,2
Sankhuwasabha,5,4,80,3,0
Saptari,32,5,16,0,4
Sarlahi,5,1,20,3,0
Sindhuli,4,4,100,0,3
Sindhupalchok,6,5,83,9,0
Siraha,8,2,25,0,7
Solukhumbu,5,5,100,6,1
Sunsari,11,13,100,11,0
Surkhet,6,3,50,2,0
Syangja,6,4,67,7,0
Tanahu,7,5,71,0,13
Taplejung,4,2,50,0,5
Terhathum,4,2,50,0,5
Udayapur,18,8,44,6,0
